feat1,feat2,group_feat,subgroup,subgroup_trend,subgroup_trend_strength,trend_type,agg_trend,agg_trend_strength,distance
search_conducted_rate,driver_gender,state,AZ,['F' 'M'],0.156,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,state,CO,['F' 'M'],0.3058,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,state,CT,['F' 'M'],0.58,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,state,IL,['F' 'M'],0.3483,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,state,MA,['F' 'M'],0.2378,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,state,MD,['F' 'M'],0.187,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,state,NC,['F' 'M'],0.6582,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,state,RI,['F' 'M'],0.4153,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,state,SC,['F' 'M'],0.636,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,state,TX,['F' 'M'],0.343,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,state,VT,['F' 'M'],0.2274,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,state,WA,['F' 'M'],0.427,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,state,WI,['F' 'M'],0.3156,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,driver_race,Asian,['F' 'M'],0.3935,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,driver_race,Black,['F' 'M'],0.3146,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,driver_race,Hispanic,['F' 'M'],0.2977,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,driver_race,Other,['F' 'M'],0.1447,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,driver_race,White,['F' 'M'],0.2838,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,decriminalization,0,['F' 'M'],0.3007,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,decriminalization,1,['F' 'M'],0.3993,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,medical,0,['F' 'M'],0.3263,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,medical,1,['F' 'M'],0.1757,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,recreational,0,['F' 'M'],0.2752,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,recreational,1,['F' 'M'],0.0994,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,no_reforms,0,['F' 'M'],0.248,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_gender,no_reforms,1,['F' 'M'],0.3965,rank_trend,['F' 'M'],0.2519,-0.5
search_conducted_rate,driver_race,state,AZ,['Asian' 'White' 'Other' 'Hispanic' 'Black'],0.0351,rank_trend,['Asian' 'White' 'Other' 'Black' 'Hispanic'],0.2772,-0.3
search_conducted_rate,driver_race,state,CO,['Asian' 'White' 'Other' 'Hispanic' 'Black'],0.3281,rank_trend,['Asian' 'White' 'Other' 'Black' 'Hispanic'],0.2772,-0.3
search_conducted_rate,driver_race,state,CT,['Asian' 'Other' 'White' 'Hispanic' 'Black'],0.443,rank_trend,['Asian' 'White' 'Other' 'Black' 'Hispanic'],0.2772,-0.1
search_conducted_rate,driver_race,state,IL,['Asian' 'White' 'Other' 'Black' 'Hispanic'],0.5408,rank_trend,['Asian' 'White' 'Other' 'Black' 'Hispanic'],0.2772,-0.5
search_conducted_rate,driver_race,state,MA,['Other' 'Asian' 'White' 'Black' 'Hispanic'],0.3048,rank_trend,['Asian' 'White' 'Other' 'Black' 'Hispanic'],0.2772,-0.1
search_conducted_rate,driver_race,state,MD,['Asian' 'Other' 'White' 'Black' 'Hispanic'],0.2062,rank_trend,['Asian' 'White' 'Other' 'Black' 'Hispanic'],0.2772,-0.3
search_conducted_rate,driver_race,state,NC,['Asian' 'Other' 'White' 'Black' 'Hispanic'],0.2765,rank_trend,['Asian' 'White' 'Other' 'Black' 'Hispanic'],0.2772,-0.3
search_conducted_rate,driver_race,state,RI,['Other' 'Asian' 'White' 'Hispanic' 'Black'],0.4776,rank_trend,['Asian' 'White' 'Other' 'Black' 'Hispanic'],0.2772,0.1
search_conducted_rate,driver_race,state,SC,['Other' 'White' 'Black' 'Hispanic'],0.4143,rank_trend,['Asian' 'White' 'Other' 'Black' 'Hispanic'],0.2772,-0.2379
